source_build,target_build,opcode,direction,field_key,check,edge_value,home_value,severity
12,2486,0x001C,IN,StateSync/Flag:Byte,dist_diverge,tvd=0.521,home_other=0.00,medium
12,2486,0x001C,IN,StateSync/PositionCoordS/X:Int16,dist_diverge,tvd=0.863,home_other=0.44,high
12,2486,0x001C,IN,StateSync/PositionCoordS/Y:Int16,dist_diverge,tvd=0.906,home_other=0.45,high
12,2486,0x001C,IN,StateSync/PositionCoordS/Z:Int16,dist_diverge,tvd=0.918,home_other=0.00,high
12,2486,0x001C,IN,StateSync/Rotation# CoordS / #:Int16,dist_diverge,tvd=0.864,home_other=0.07,high
12,2486,0x001C,IN,StateSync/Rotation:Int16,dist_diverge,tvd=0.844,home_other=0.08,high
12,2486,0x001C,IN,StateSync/SpeedCoordS/X:Int16,dist_diverge,tvd=0.600,home_other=0.00,high
12,2486,0x001C,IN,StateSync/SpeedCoordS/Y:Int16,dist_diverge,tvd=0.666,home_other=0.00,high
12,2486,0x001C,IN,StateSync/SpeedCoordS/Z:Int16,dist_diverge,tvd=0.687,home_other=0.00,high
12,2486,0x001C,IN,StateSync/Unknown:Byte,dist_diverge,tvd=0.641,home_other=0.00,high
12,2486,0x001C,IN,StateSync/Unknown:Int32,dist_diverge,tvd=0.928,home_other=0.12,high
12,2486,0x001C,IN,StateSync/state:Byte,dist_diverge,tvd=0.727,home_other=0.00,high
12,2486,0x001C,IN,StateSync/subState:Byte,dist_diverge,tvd=0.747,home_other=0.00,high
12,2486,0x0020,OUT,/SkillId:Int32,dist_diverge,tvd=0.891,home_other=0.04,high
12,2486,0x0020,OUT,/SkillLevel:Int16,dist_diverge,tvd=0.571,home_other=0.00,medium
12,2486,0x0020,OUT,/UserObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.15,high
12,2486,0x0020,OUT,ImpactPositionCoordF/X:Single,dist_diverge,tvd=0.745,home_other=0.68,high
12,2486,0x0020,OUT,ImpactPositionCoordF/Y:Single,dist_diverge,tvd=0.750,home_other=0.70,high
12,2486,0x0020,OUT,ImpactPositionCoordF/Z:Single,dist_diverge,tvd=0.820,home_other=0.04,high
12,2486,0x0020,OUT,Npc #/UserObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.33,high
12,2486,0x0020,OUT,PositionCoordF/X:Single,dist_diverge,tvd=0.513,home_other=0.93,medium
12,2486,0x0020,OUT,PositionCoordF/Y:Single,dist_diverge,tvd=0.508,home_other=0.93,medium
12,2486,0x0020,OUT,PositionCoordF/Z:Single,dist_diverge,tvd=0.858,home_other=0.07,high
12,2486,0x0020,OUT,RotationCoordF/Z:Single,dist_diverge,tvd=0.560,home_other=0.34,medium
